TransactionID|Date|ProductID|ProductName|Quantity|UnitPrice|CustomerID|Region|API_Category|API_Brand|API_Rating|API_Match
T018|2024-12-29|P107|USB Cable|8|173.0|C009|South|fragrances|Chanel|4.26|True
T063|2024-12-07|P110|Laptop Charger|6|1916.0|C022|East|fragrances|Gucci|2.74|True
T023|2024-12-09|P109|Wireless Mouse|9|523.0|C022|North|fragrances|Dolce & Gabbana|3.96|True
T059|2024-12-29|P102|MouseWireless|4|1056.0|C010|South|beauty|Glamour Beauty|2.86|True
T035|2024-12-08|P102|Mouse|4|431.0|C011|North|beauty|Glamour Beauty|2.86|True
T061|2024-12-10|P109|Wireless Mouse|2|775.0|C009|North|fragrances|Dolce & Gabbana|3.96|True
T057|2024-12-15|P101|LaptopPremium|10|81896.0|C004|North|beauty|Essence|2.56|True
T034|2024-12-22|P107|USB Cable|6|324.0|C029|West|fragrances|Chanel|4.26|True
T050|2024-12-02|P104|MonitorLED|10|9997.0|C024|East|beauty|Chic Cosmetics|4.36|True
T024|2024-12-25|P109|Wireless Mouse|5|1812.0|C011|North|fragrances|Dolce & Gabbana|3.96|True
T004|2024-12-07|P109|Wireless Mouse|9|1359.0|C008|West|fragrances|Dolce & Gabbana|3.96|True
T068|2024-12-02|P109|Wireless Mouse|6|1692.0|C018|South|fragrances|Dolce & Gabbana|3.96|True
T066|2024-12-06|P105|Webcam|8|4259.0|C023|West|beauty|Nail Couture|4.32|True
T064|2024-12-16|P109|Wireless Mouse|5|604.0|C003|West|fragrances|Dolce & Gabbana|3.96|True
T045|2024-12-26|P108|External Hard Drive|9|3802.0|C002|North|fragrances|Dior|3.8|True
T015|2024-12-30|P105|Webcam|9|2899.0|C022|East|beauty|Nail Couture|4.32|True
T055|2024-12-07|P105|WebcamHD|6|2977.0|C009|West|beauty|Nail Couture|4.32|True
T072|2024-12-26|P103|Keyboard|3|2488.0||South|beauty|Velvet Touch|4.64|True
T002|2024-12-22|P102|Mouse|9|478.0|C019|West|beauty|Glamour Beauty|2.86|True
T051|2024-12-02|P101|LaptopPremium|10|76246.0|C017|South|beauty|Essence|2.56|True
T005|2024-12-09|P110|Laptop Charger|1|3054.0|C026|South|fragrances|Gucci|2.74|True
T007|2024-12-03|P102|Mouse|7|498.0|C012|East|beauty|Glamour Beauty|2.86|True
T010|2024-12-07|P110|Laptop Charger|2|1593.0|C022|South|fragrances|Gucci|2.74|True
T032|2024-12-22|P103|Keyboard|8|1476.0|C009|West|beauty|Velvet Touch|4.64|True
T008|2024-12-09|P110|Laptop Charger|1|2994.0|C015|North|fragrances|Gucci|2.74|True
